peptide_id,gene_id,transcript_id,genome,chromosome,start_pos,end_pos,strand,description,length
KRG99048,GLYMA_18G117000,KRG99048,Glycine_max_v2.0,18,14361608,14361796,1,hypothetical protein,62
KRH01054,GLYMA_18G250800,KRH01054,Glycine_max_v2.0,18,53705131,53705581,1,hypothetical protein,94
KRH49790,GLYMA_07G179600,KRH49790,Glycine_max_v2.0,7,34491870,34492506,1,hypothetical protein,120
KRH68700,GLYMA_03G244900,KRH68700,Glycine_max_v2.0,3,44224640,44224954,1,hypothetical protein,104
KRH51353,GLYMA_06G0016002,KRH51353,Glycine_max_v2.0,6,154527,154605,1,hypothetical protein,26
KRH71540,GLYMA_02G153400,KRH71540,Glycine_max_v2.0,2,15758242,15758424,-1,hypothetical protein,60
KRH23925,GLYMA_12G011300,KRH23925,Glycine_max_v2.0,12,829956,830389,1,hypothetical protein,78
KRH48018,GLYMA_07G063200,KRH48018,Glycine_max_v2.0,7,5597950,5598368,1,hypothetical protein,103
KRH56219,GLYMA_06G310800,KRH56219,Glycine_max_v2.0,6,49935557,49941708,1,hypothetical protein,581
KRG93552,GLYMA_19G023900,KRG93552,Glycine_max_v2.0,19,2737306,2738507,-1,hypothetical protein,118
KRG99978,GLYMA_18G182700,KRG99978,Glycine_max_v2.0,18,44007294,44007494,-1,hypothetical protein,66
KRH12610,GLYMA_15G182100,KRH12610,Glycine_max_v2.0,15,17833449,17835068,1,hypothetical protein,180
KRH44533,GLYMA_08G217300,KRH44533,Glycine_max_v2.0,8,17630872,17631408,1,hypothetical protein,82
KRH00968,GLYMA_18G245300,KRH00968,Glycine_max_v2.0,18,53298985,53299215,-1,hypothetical protein,76
KRH62853,GLYMA_04G137200,KRH62853,Glycine_max_v2.0,4,20927240,20927923,-1,hypothetical protein,60
KRH58078,GLYMA_05G1046001,KRH58078,Glycine_max_v2.0,5,27811258,27811821,1,hypothetical protein,19
KRH75349,GLYMA_01G0794002,KRH75349,Glycine_max_v2.0,1,20725325,20725403,1,hypothetical protein,26
KRH46606,GLYMA_08G345600,KRH46606,Glycine_max_v2.0,8,46050181,46054959,1,hypothetical protein,207
KRG92046,GLYMA_20G187700,KRG92046,Glycine_max_v2.0,20,42618703,42626896,-1,hypothetical protein,498
KRH48166,GLYMA_07G072400,KRH48166,Glycine_max_v2.0,7,6574974,6576251,1,hypothetical protein,377
KRG98218,GLYMA_18G058100,KRG98218,Glycine_max_v2.0,18,5124133,5126400,-1,hypothetical protein,265
KRG90114,GLYMA_20G068600,KRG90114,Glycine_max_v2.0,20,24385461,24385931,1,hypothetical protein,102
KRH30470,GLYMA_11G185800,KRH30470,Glycine_max_v2.0,11,25453230,25453547,1,hypothetical protein,84
KRH59184,GLYMA_05G169800,KRH59184,Glycine_max_v2.0,5,36014053,36019624,1,hypothetical protein,75
KRH46755,GLYMA_08G354800,KRH46755,Glycine_max_v2.0,8,46757821,46761598,1,hypothetical protein,438
KRH36417,GLYMA_09G002300,KRH36417,Glycine_max_v2.0,9,179795,199164,-1,hypothetical protein,816
KRH43621,GLYMA_08G161100,KRH43621,Glycine_max_v2.0,8,12482079,12485114,1,hypothetical protein,57
KRH59227,GLYMA_05G172500,KRH59227,Glycine_max_v2.0,5,36248385,36249020,1,hypothetical protein,111
KRH13035,GLYMA_15G212100,KRH13035,Glycine_max_v2.0,15,32909983,32912927,1,hypothetical protein,204
KRH75722,GLYMA_01G104000,KRH75722,Glycine_max_v2.0,1,35075110,35075972,1,hypothetical protein,91
KRH60353,GLYMA_05G235100,KRH60353,Glycine_max_v2.0,5,41184209,41184433,-1,hypothetical protein,74
KRG94728,GLYMA_19G104900,KRG94728,Glycine_max_v2.0,19,35438962,35440193,1,hypothetical protein,41
KRH23384,GLYMA_13G354000,KRH23384,Glycine_max_v2.0,13,44242287,44243092,1,hypothetical protein,71
KRH76476,GLYMA_01G155000,KRH76476,Glycine_max_v2.0,1,49253405,49255123,-1,hypothetical protein,423
KRH16880,GLYMA_14G183600,KRH16880,Glycine_max_v2.0,14,44707464,44708347,1,hypothetical protein,59
KRH33313,GLYMA_10G115100,KRH33313,Glycine_max_v2.0,10,28722421,28727886,-1,hypothetical protein,64
KRH18333,GLYMA_13G0523002,KRH18333,Glycine_max_v2.0,13,14939773,14939974,-1,hypothetical protein,66
KRH66975,GLYMA_03G138700,KRH66975,Glycine_max_v2.0,3,35514563,35515060,1,hypothetical protein,66
KRG94555,GLYMA_19G093400,KRG94555,Glycine_max_v2.0,19,33010959,33012840,-1,hypothetical protein,142
KRH59127,GLYMA_05G167000,KRH59127,Glycine_max_v2.0,5,35742948,35743217,-1,hypothetical protein,89
KRH22577,GLYMA_13G309500,KRH22577,Glycine_max_v2.0,13,40521653,40522211,1,hypothetical protein,115
KRH38323,GLYMA_09G128000,KRH38323,Glycine_max_v2.0,9,31908866,31909180,1,hypothetical protein,66
KRH67012,GLYMA_03G141400,KRH67012,Glycine_max_v2.0,3,35731816,35733556,-1,hypothetical protein,101
KRH22400,GLYMA_13G297900,KRH22400,Glycine_max_v2.0,13,39655238,39655486,-1,hypothetical protein,82
KRH20639,GLYMA_13G1911002,KRH20639,Glycine_max_v2.0,13,30457589,30457632,1,hypothetical protein,7
KRH27154,GLYMA_12G218000,KRH27154,Glycine_max_v2.0,12,37776200,37779067,-1,hypothetical protein,454
KRH41751,GLYMA_08G048500,KRH41751,Glycine_max_v2.0,8,3775077,3776654,1,hypothetical protein,76
KRH75650,GLYMA_01G098900,KRH75650,Glycine_max_v2.0,1,32956281,32956538,-1,hypothetical protein,85
KRH62533,GLYMA_04G113800,KRH62533,Glycine_max_v2.0,4,12930625,12934119,1,hypothetical protein,59
KRH08697,GLYMA_16G167400,KRH08697,Glycine_max_v2.0,16,32688031,32689073,1,hypothetical protein,100
KRH32362,GLYMA_10G047000,KRH32362,Glycine_max_v2.0,10,4214884,4216189,1,hypothetical protein,277
KRH62160,GLYMA_04G090200,KRH62160,Glycine_max_v2.0,4,7939288,7940648,-1,hypothetical protein,65
KRH01370,GLYMA_18G272900,KRH01370,Glycine_max_v2.0,18,55569421,55569729,1,hypothetical protein,102
KRH08731,GLYMA_16G170100,KRH08731,Glycine_max_v2.0,16,33017133,33018819,-1,hypothetical protein,232
KRH30551,GLYMA_11G192200,KRH30551,Glycine_max_v2.0,11,26540618,26542158,1,hypothetical protein,64
KRH12115,GLYMA_15G153200,KRH12115,Glycine_max_v2.0,15,12719862,12720422,-1,hypothetical protein,186
KRH26273,GLYMA_12G164600,KRH26273,Glycine_max_v2.0,12,31903133,31903330,1,hypothetical protein,65
KRH31687,GLYMA_10G005200,KRH31687,Glycine_max_v2.0,10,524543,528345,-1,hypothetical protein,165
KRH51601,GLYMA_06G017400,KRH51601,Glycine_max_v2.0,6,1284619,1286376,-1,hypothetical protein,585
KRH77914,GLYMA_01G241500,KRH77914,Glycine_max_v2.0,1,56542321,56546105,-1,hypothetical protein,531
KRH48772,GLYMA_07G111600,KRH48772,Glycine_max_v2.0,7,11521345,11523853,1,hypothetical protein,92
KRH67114,GLYMA_03G148000,KRH67114,Glycine_max_v2.0,3,36364466,36367651,-1,hypothetical protein,669
KRH02130,GLYMA_17G017800,KRH02130,Glycine_max_v2.0,17,1347123,1348203,1,hypothetical protein,84
KRH11049,GLYMA_15G085100,KRH11049,Glycine_max_v2.0,15,6528566,6529892,1,hypothetical protein,233
KRH21334,GLYMA_13G2335001,KRH21334,Glycine_max_v2.0,13,34425970,34426818,1,hypothetical protein,27
KRH04055,GLYMA_17G137000,KRH04055,Glycine_max_v2.0,17,11059632,11060134,1,hypothetical protein,76
KRG93861,GLYMA_19G046100,KRG93861,Glycine_max_v2.0,19,6972618,6982502,-1,hypothetical protein,395
KRH30657,GLYMA_11G198700,KRH30657,Glycine_max_v2.0,11,27594089,27594801,1,hypothetical protein,76
KRH55036,GLYMA_06G225900,KRH55036,Glycine_max_v2.0,6,31519642,31520854,1,hypothetical protein,79
KRH42972,GLYMA_08G123000,KRH42972,Glycine_max_v2.0,8,9464362,9466271,-1,hypothetical protein,284
KRH66099,GLYMA_03G082500,KRH66099,Glycine_max_v2.0,3,22836933,22840924,-1,hypothetical protein,478
KRH69251,GLYMA_02G014600,KRH69251,Glycine_max_v2.0,2,1304158,1304609,-1,hypothetical protein,75
KRG96939,GLYMA_19G242500,KRG96939,Glycine_max_v2.0,19,49023605,49023984,1,hypothetical protein,69
KRH62583,GLYMA_04G117500,KRH62583,Glycine_max_v2.0,4,13777441,13778033,1,hypothetical protein,71
KRH22923,GLYMA_13G327900,KRH22923,Glycine_max_v2.0,13,42235431,42236329,-1,hypothetical protein,86
KRH72417,GLYMA_02G211100,KRH72417,Glycine_max_v2.0,2,39637131,39637337,-1,hypothetical protein,68
KRH73218,GLYMA_02G259400,KRH73218,Glycine_max_v2.0,2,44641945,44642041,-1,hypothetical protein,32
KRH28188,GLYMA_11G037800,KRH28188,Glycine_max_v2.0,11,2711991,2712809,-1,hypothetical protein,69
KRH21807,GLYMA_13G259800,KRH21807,Glycine_max_v2.0,13,36422374,36422571,-1,hypothetical protein,65
KRH54979,GLYMA_06G223100,KRH54979,Glycine_max_v2.0,6,29407162,29420922,1,hypothetical protein,506
KRH17713,GLYMA_13G009500,KRH17713,Glycine_max_v2.0,13,2621544,2630032,-1,hypothetical protein,1424
KRH52830,GLYMA_06G089700,KRH52830,Glycine_max_v2.0,6,6951134,6952499,1,hypothetical protein,98
KRH58705,GLYMA_05G143600,KRH58705,Glycine_max_v2.0,5,33747567,33748056,1,hypothetical protein,79
KRH33736,GLYMA_10G142700,KRH33736,Glycine_max_v2.0,10,37739735,37741118,1,hypothetical protein,57
KRH38022,GLYMA_09G104600,KRH38022,Glycine_max_v2.0,9,19460059,19475595,1,hypothetical protein,319
KRH15680,GLYMA_14G103700,KRH15680,Glycine_max_v2.0,14,10451467,10457712,-1,hypothetical protein,93
KRH52876,GLYMA_06G092400,KRH52876,Glycine_max_v2.0,6,7294231,7295178,1,hypothetical protein,250
KRG96015,GLYMA_19G183600,KRG96015,Glycine_max_v2.0,19,44211089,44214656,-1,hypothetical protein,91
KRH60754,GLYMA_04G007600,KRH60754,Glycine_max_v2.0,4,580156,580517,-1,hypothetical protein,83
KRH46545,GLYMA_08G340700,KRH46545,Glycine_max_v2.0,8,45680998,45684641,1,hypothetical protein,260
KRG94131,GLYMA_19G064500,KRG94131,Glycine_max_v2.0,19,15290744,15318965,-1,hypothetical protein,739
KRH08823,GLYMA_16G1767001,KRH08823,Glycine_max_v2.0,16,33804898,33804948,-1,hypothetical protein,17
KRH45413,GLYMA_08G269900,KRH45413,Glycine_max_v2.0,8,34844097,34844830,1,hypothetical protein,59
KRH21106,GLYMA_13G220700,KRH21106,Glycine_max_v2.0,13,33391840,33392117,1,hypothetical protein,68
KRH71464,GLYMA_02G149500,KRH71464,Glycine_max_v2.0,2,15376515,15377750,-1,hypothetical protein,105
KRH08256,GLYMA_16G138500,KRH08256,Glycine_max_v2.0,16,29564872,29566190,1,hypothetical protein,68
KRH12585,GLYMA_15G180800,KRH12585,Glycine_max_v2.0,15,17428707,17433487,1,hypothetical protein,53
KRH56151,GLYMA_06G306900,KRH56151,Glycine_max_v2.0,6,49584361,49584537,1,hypothetical protein,58
KRH49807,GLYMA_07G181100,KRH49807,Glycine_max_v2.0,7,34930080,34930476,-1,hypothetical protein,53
KRG93300,GLYMA_19G008000,KRG93300,Glycine_max_v2.0,19,801425,803361,-1,hypothetical protein,74
KRH29369,GLYMA_11G112300,KRH29369,Glycine_max_v2.0,11,8564663,8567097,-1,hypothetical protein,260
KRH47043,GLYMA_07G005400,KRH47043,Glycine_max_v2.0,7,407023,408319,1,hypothetical protein,83
KRH54090,GLYMA_06G164200,KRH54090,Glycine_max_v2.0,6,13571585,13572445,1,hypothetical protein,77
KRH44516,GLYMA_08G216100,KRH44516,Glycine_max_v2.0,8,17541718,17542173,1,hypothetical protein,151
KRH69642,GLYMA_02G039600,KRH69642,Glycine_max_v2.0,2,3713358,3714230,1,hypothetical protein,82
KRH77198,GLYMA_01G198400,KRH77198,Glycine_max_v2.0,1,53218973,53219131,-1,hypothetical protein,52
KRH48100,GLYMA_07G068500,KRH48100,Glycine_max_v2.0,7,6184449,6187743,-1,hypothetical protein,827
KRH03603,GLYMA_17G108100,KRH03603,Glycine_max_v2.0,17,8477271,8477498,1,hypothetical protein,75
KRH57162,GLYMA_05G042900,KRH57162,Glycine_max_v2.0,5,3844254,3844631,1,hypothetical protein,125
KRH10818,GLYMA_15G070900,KRH10818,Glycine_max_v2.0,15,5437418,5439508,1,hypothetical protein,92
KRG93665,GLYMA_19G031900,KRG93665,Glycine_max_v2.0,19,4034253,4034948,1,hypothetical protein,114
KRH04392,GLYMA_17G159100,KRH04392,Glycine_max_v2.0,17,13728496,13729166,1,hypothetical protein,56
KRH44683,GLYMA_08G225300,KRH44683,Glycine_max_v2.0,8,18247735,18251976,1,hypothetical protein,930
KRH37266,GLYMA_09G054900,KRH37266,Glycine_max_v2.0,9,4875104,4878248,-1,hypothetical protein,724
KRH35312,GLYMA_10G235800,KRH35312,Glycine_max_v2.0,10,46493378,46494104,-1,hypothetical protein,87
KRG94932,GLYMA_19G1190002,KRG94932,Glycine_max_v2.0,19,37661482,37661829,1,hypothetical protein,36
KRH64154,GLYMA_04G219800,KRH64154,Glycine_max_v2.0,4,49044526,49045020,1,hypothetical protein,72
KRH75703,GLYMA_01G102700,KRH75703,Glycine_max_v2.0,1,34168848,34169153,1,hypothetical protein,101
KRH31418,GLYMA_11G247200,KRH31418,Glycine_max_v2.0,11,34008667,34008861,-1,hypothetical protein,56
KRH12963,GLYMA_15G208200,KRH12963,Glycine_max_v2.0,15,29879254,29883179,-1,hypothetical protein,449
KRH34169,GLYMA_10G167700,KRH34169,Glycine_max_v2.0,10,40199856,40200738,1,hypothetical protein,148
KRH16043,GLYMA_14G128700,KRH16043,Glycine_max_v2.0,14,21563377,21564578,1,hypothetical protein,172
KRH18096,GLYMA_13G037200,KRH18096,Glycine_max_v2.0,13,11623501,11623874,1,hypothetical protein,70
KRH13996,GLYMA_14G000200,KRH13996,Glycine_max_v2.0,14,1130,4023,-1,hypothetical protein,85
KRG98330,GLYMA_18G066100,KRG98330,Glycine_max_v2.0,18,6067644,6068792,1,hypothetical protein,382
KRG92421,GLYMA_20G210000,KRG92421,Glycine_max_v2.0,20,44600826,44601002,-1,hypothetical protein,58
KRH16090,GLYMA_14G131400,KRH16090,Glycine_max_v2.0,14,22505022,22506112,1,hypothetical protein,92
KRH07435,GLYMA_16G088800,KRH07435,Glycine_max_v2.0,16,11324223,11324784,1,hypothetical protein,67
KRH70856,GLYMA_02G114100,KRH70856,Glycine_max_v2.0,2,11079232,11080279,-1,hypothetical protein,93
KRH04577,GLYMA_17G171000,KRH04577,Glycine_max_v2.0,17,16169032,16170010,-1,hypothetical protein,67
KRH64112,GLYMA_04G217000,KRH64112,Glycine_max_v2.0,4,48801992,48802902,1,hypothetical protein,103
KRH57213,GLYMA_05G046600,KRH57213,Glycine_max_v2.0,5,4150564,4158144,1,hypothetical protein,452
KRH15015,GLYMA_14G063300,KRH15015,Glycine_max_v2.0,14,5137500,5139077,1,hypothetical protein,107
KRH43713,GLYMA_08G166400,KRH43713,Glycine_max_v2.0,8,13133548,13134624,1,hypothetical protein,62
KRH51447,GLYMA_06G007000,KRH51447,Glycine_max_v2.0,6,527462,528607,-1,hypothetical protein,73
KRH66994,GLYMA_03G140200,KRH66994,Glycine_max_v2.0,3,35643880,35644485,1,hypothetical protein,89
KRH16175,GLYMA_14G137900,KRH16175,Glycine_max_v2.0,14,25157183,25160220,1,hypothetical protein,171
KRH77738,GLYMA_01G231100,KRH77738,Glycine_max_v2.0,1,55816513,55818724,1,hypothetical protein,108
KRG90574,GLYMA_20G100100,KRG90574,Glycine_max_v2.0,20,34324246,34326630,1,hypothetical protein,699
KRH17165,GLYMA_14G203200,KRH17165,Glycine_max_v2.0,14,46804365,46804565,-1,hypothetical protein,66
KRH31671,GLYMA_10G003900,KRH31671,Glycine_max_v2.0,10,398074,398256,-1,hypothetical protein,60
KRG99540,GLYMA_18G152600,KRG99540,Glycine_max_v2.0,18,29114907,29116279,-1,hypothetical protein,257
KRH28687,GLYMA_11G069200,KRH28687,Glycine_max_v2.0,11,5198642,5200200,1,hypothetical protein,78
KRH64270,GLYMA_04G226200,KRH64270,Glycine_max_v2.0,4,49596884,49597513,-1,hypothetical protein,84
KRH77851,GLYMA_01G237600,KRH77851,Glycine_max_v2.0,1,56240577,56244250,-1,hypothetical protein,128
KRH00467,GLYMA_18G215200,KRH00467,Glycine_max_v2.0,18,50219142,50222679,1,hypothetical protein,337
KRH04040,GLYMA_17G135700,KRH04040,Glycine_max_v2.0,17,10942294,10942759,-1,hypothetical protein,116
KRH65320,GLYMA_03G027600,KRH65320,Glycine_max_v2.0,3,3029475,3033087,-1,hypothetical protein,347
KRH75934,GLYMA_01G118500,KRH75934,Glycine_max_v2.0,1,40786869,40787231,1,hypothetical protein,78
KRG89562,GLYMA_20G032000,KRG89562,Glycine_max_v2.0,20,4113273,4114665,-1,hypothetical protein,122
KRG95656,GLYMA_19G164000,KRG95656,Glycine_max_v2.0,19,42485478,42485765,-1,hypothetical protein,64
KRH34702,GLYMA_10G200400,KRH34702,Glycine_max_v2.0,10,43118470,43121988,-1,hypothetical protein,471
KRH02114,GLYMA_17G016600,KRH02114,Glycine_max_v2.0,17,1229193,1231071,-1,hypothetical protein,450
KRH39230,GLYMA_09G187000,KRH39230,Glycine_max_v2.0,9,41168331,41169635,1,hypothetical protein,154
KRH17311,GLYMA_14G212400,KRH17311,Glycine_max_v2.0,14,47756085,47757164,1,hypothetical protein,69
KRH23683,GLYMA_13G371200,KRH23683,Glycine_max_v2.0,13,45636052,45639550,-1,hypothetical protein,986
KRG94940,GLYMA_19G119500,KRG94940,Glycine_max_v2.0,19,37713482,37721207,1,hypothetical protein,89
KRH47650,GLYMA_07G042300,KRH47650,Glycine_max_v2.0,7,3513661,3514581,1,hypothetical protein,117
KRH34796,GLYMA_10G206900,KRH34796,Glycine_max_v2.0,10,43855263,43858609,1,hypothetical protein,139
KRH31797,GLYMA_10G013200,KRH31797,Glycine_max_v2.0,10,1179937,1180095,1,hypothetical protein,52
KRH28854,GLYMA_11G081100,KRH28854,Glycine_max_v2.0,11,6090248,6091010,-1,hypothetical protein,197
KRH48503,GLYMA_07G093300,KRH48503,Glycine_max_v2.0,7,8697570,8698388,1,hypothetical protein,70
KRH59955,GLYMA_05G210500,KRH59955,Glycine_max_v2.0,5,39239707,39240043,1,hypothetical protein,68
KRH30063,GLYMA_11G155700,KRH30063,Glycine_max_v2.0,11,12781732,12782117,1,hypothetical protein,69
KRH30967,GLYMA_11G218300,KRH30967,Glycine_max_v2.0,11,31306297,31306629,1,hypothetical protein,81
KRH39818,GLYMA_09G222500,KRH39818,Glycine_max_v2.0,9,44324415,44326170,-1,hypothetical protein,53
KRH73430,GLYMA_02G272900,KRH73430,Glycine_max_v2.0,2,45650548,45651520,1,hypothetical protein,66
KRH21827,GLYMA_13G261300,KRH21827,Glycine_max_v2.0,13,36515827,36516559,1,hypothetical protein,125
KRH76174,GLYMA_01G136900,KRH76174,Glycine_max_v2.0,1,46188690,46191970,-1,hypothetical protein,199
KRH39705,GLYMA_09G2153002,KRH39705,Glycine_max_v2.0,9,43887078,43887171,1,hypothetical protein,31
KRH30174,GLYMA_11G164900,KRH30174,Glycine_max_v2.0,11,15716899,15717222,-1,hypothetical protein,107
KRH57636,GLYMA_05G074300,KRH57636,Glycine_max_v2.0,5,8733439,8733717,-1,hypothetical protein,92
KRH32759,GLYMA_10G073400,KRH32759,Glycine_max_v2.0,10,7557716,7560013,1,hypothetical protein,129
KRH38085,GLYMA_09G109900,KRH38085,Glycine_max_v2.0,9,21593031,21593325,1,hypothetical protein,51
KRH55110,GLYMA_06G231100,KRH55110,Glycine_max_v2.0,6,36066349,36066534,1,hypothetical protein,61
KRG97827,GLYMA_18G0341001,KRG97827,Glycine_max_v2.0,18,2628765,2629910,-1,hypothetical protein,69
KRH41289,GLYMA_08G021100,KRH41289,Glycine_max_v2.0,8,1708493,1709320,-1,hypothetical protein,74
KRH75228,GLYMA_01G071500,KRH75228,Glycine_max_v2.0,1,12904577,12908384,-1,hypothetical protein,107
KRH24701,GLYMA_12G057200,KRH24701,Glycine_max_v2.0,12,4161521,4161880,1,hypothetical protein,120
KRH42109,GLYMA_08G069400,KRH42109,Glycine_max_v2.0,8,5302969,5307639,1,hypothetical protein,1265
KRH03240,GLYMA_17G086100,KRH03240,Glycine_max_v2.0,17,6636947,6640739,1,hypothetical protein,78
KRG88758,GLYMA_U030000,KRG88758,,NA,NA,NA,NA,hypothetical protein,71
KRH10650,GLYMA_15G060500,KRH10650,Glycine_max_v2.0,15,4678562,4679438,1,hypothetical protein,103
KRH09664,GLYMA_15G004000,KRH09664,Glycine_max_v2.0,15,359598,361686,-1,hypothetical protein,108
KRH10566,GLYMA_15G055000,KRH10566,Glycine_max_v2.0,15,4314309,4325139,1,hypothetical protein,653
KRH24849,GLYMA_12G066400,KRH24849,Glycine_max_v2.0,12,4876436,4878514,1,hypothetical protein,225
KRH67444,GLYMA_03G1667002,KRH67444,Glycine_max_v2.0,3,38116147,38116644,-1,hypothetical protein,26
KRH69662,GLYMA_02G041100,KRH69662,Glycine_max_v2.0,2,3860895,3861188,-1,hypothetical protein,97
KRH14022,GLYMA_14G001800,KRH14022,Glycine_max_v2.0,14,223148,224847,-1,hypothetical protein,226
KRH42679,GLYMA_08G104900,KRH42679,Glycine_max_v2.0,8,8066650,8068816,-1,hypothetical protein,96
KRH04556,GLYMA_17G169900,KRH04556,Glycine_max_v2.0,17,15873880,15874300,1,hypothetical protein,76
KRG94195,GLYMA_19G067000,KRG94195,Glycine_max_v2.0,19,18467640,18470144,-1,hypothetical protein,384
KRH28376,GLYMA_11G049500,KRH28376,Glycine_max_v2.0,11,3716994,3718044,1,hypothetical protein,104
KRH44660,GLYMA_08G224100,KRH44660,Glycine_max_v2.0,8,18183017,18183776,1,hypothetical protein,136
KRH21148,GLYMA_13G223200,KRH21148,Glycine_max_v2.0,13,33606433,33609795,1,hypothetical protein,68
KRH11813,GLYMA_15G132300,KRH11813,Glycine_max_v2.0,15,10630441,10630641,1,hypothetical protein,66
KRH25984,GLYMA_12G143700,KRH25984,Glycine_max_v2.0,12,18887544,18888820,1,hypothetical protein,78
KRH14862,GLYMA_14G052800,KRH14862,Glycine_max_v2.0,14,4179945,4180100,1,hypothetical protein,51
KRH07318,GLYMA_16G081100,KRH07318,Glycine_max_v2.0,16,8700048,8701649,-1,hypothetical protein,43
KRH61942,GLYMA_04G075800,KRH61942,Glycine_max_v2.0,4,6342149,6343000,1,hypothetical protein,66
KRH05589,GLYMA_17G235200,KRH05589,Glycine_max_v2.0,17,39028294,39030439,1,hypothetical protein,626
KRH36135,GLYMA_10G285600,KRH36135,Glycine_max_v2.0,10,50557756,50558467,-1,hypothetical protein,161
KRH45924,GLYMA_08G301400,KRH45924,Glycine_max_v2.0,8,41938177,41938983,-1,hypothetical protein,109
KRG98313,GLYMA_18G064800,KRG98313,Glycine_max_v2.0,18,5895885,5897251,-1,hypothetical protein,134
KRH27670,GLYMA_11G007700,KRH27670,Glycine_max_v2.0,11,531481,533097,-1,hypothetical protein,41
KRH06644,GLYMA_16G036600,KRH06644,Glycine_max_v2.0,16,3483429,3483721,1,hypothetical protein,43
KRH51290,GLYMA_07G272900,KRH51290,Glycine_max_v2.0,7,44503490,44503717,1,hypothetical protein,64
KRH70592,GLYMA_02G098600,KRH70592,Glycine_max_v2.0,2,9101997,9106449,1,hypothetical protein,383
KRH35217,GLYMA_10G229100,KRH35217,Glycine_max_v2.0,10,45911687,45912744,1,hypothetical protein,86
KRH58224,GLYMA_05G113500,KRH58224,Glycine_max_v2.0,5,30106486,30106668,-1,hypothetical protein,60
KRH11957,GLYMA_15G141500,KRH11957,Glycine_max_v2.0,15,11583892,11584516,1,hypothetical protein,70
KRG99355,GLYMA_18G139500,KRG99355,Glycine_max_v2.0,18,20930194,20930570,1,hypothetical protein,103
KRH74637,GLYMA_01G033400,KRH74637,Glycine_max_v2.0,1,3504407,3505708,1,hypothetical protein,31
KRG94522,GLYMA_19G090900,KRG94522,Glycine_max_v2.0,19,32327848,32329124,1,hypothetical protein,418
KRH09986,GLYMA_15G022400,KRH09986,Glycine_max_v2.0,15,1753288,1753554,1,hypothetical protein,70
KRG91406,GLYMA_20G152700,KRG91406,Glycine_max_v2.0,20,39144795,39151827,1,hypothetical protein,42
KRH43696,GLYMA_08G165200,KRH43696,Glycine_max_v2.0,8,13021136,13022834,-1,hypothetical protein,311
KRG93697,GLYMA_19G034400,KRG93697,Glycine_max_v2.0,19,4495744,4496599,1,hypothetical protein,106
KRH25161,GLYMA_12G084800,KRH25161,Glycine_max_v2.0,12,6843060,6843703,-1,hypothetical protein,69
KRH62082,GLYMA_04G085100,KRH62082,Glycine_max_v2.0,4,7234711,7235698,1,hypothetical protein,71
KRH46873,GLYMA_08G361600,KRH46873,Glycine_max_v2.0,8,47318105,47318371,1,hypothetical protein,88
KRH70937,GLYMA_02G119400,KRH70937,Glycine_max_v2.0,2,11748420,11749335,-1,hypothetical protein,57
KRH65880,GLYMA_03G068200,KRH65880,Glycine_max_v2.0,3,14163876,14167372,-1,hypothetical protein,204
KRG90341,GLYMA_20G084600,KRG90341,Glycine_max_v2.0,20,31667529,31667833,1,hypothetical protein,81
KRH12053,GLYMA_15G148100,KRH12053,Glycine_max_v2.0,15,12180231,12182037,-1,hypothetical protein,146
KRH02747,GLYMA_17G057200,KRH02747,Glycine_max_v2.0,17,4330919,4331590,1,hypothetical protein,88
KRH45794,GLYMA_08G293500,KRH45794,Glycine_max_v2.0,8,40858596,40858983,1,hypothetical protein,87
KRH28669,GLYMA_11G068000,KRH28669,Glycine_max_v2.0,11,5113168,5116470,1,hypothetical protein,66
KRG91571,GLYMA_20G161900,KRG91571,Glycine_max_v2.0,20,39953867,39955474,1,hypothetical protein,101
KRH69873,GLYMA_02G054000,KRH69873,Glycine_max_v2.0,2,4910692,4912569,1,hypothetical protein,76
KRH48531,GLYMA_07G094900,KRH48531,Glycine_max_v2.0,7,8841735,8843077,1,hypothetical protein,104
KRH04018,GLYMA_17G134500,KRH04018,Glycine_max_v2.0,17,10831729,10837356,1,hypothetical protein,328
KRH71089,GLYMA_02G128600,KRH71089,Glycine_max_v2.0,2,13138791,13139618,-1,hypothetical protein,46
KRH14780,GLYMA_14G0487002,KRH14780,Glycine_max_v2.0,14,3784887,3785821,-1,hypothetical protein,35
KRH29900,GLYMA_11G145300,KRH29900,Glycine_max_v2.0,11,11167723,11173223,1,hypothetical protein,494
KRH76687,GLYMA_01G168300,KRH76687,Glycine_max_v2.0,1,50599678,50603075,-1,hypothetical protein,58
KRG96864,GLYMA_19G237400,KRG96864,Glycine_max_v2.0,19,48635018,48636908,-1,hypothetical protein,116
KRG90483,GLYMA_20G093800,KRG90483,Glycine_max_v2.0,20,33694095,33694271,-1,hypothetical protein,58
KRH30988,GLYMA_11G219900,KRH30988,Glycine_max_v2.0,11,31488973,31489376,1,hypothetical protein,76
KRH05182,GLYMA_17G211800,KRH05182,Glycine_max_v2.0,17,34959886,34960107,1,hypothetical protein,73
KRG93181,GLYMA_19G001800,KRG93181,Glycine_max_v2.0,19,128557,128790,-1,hypothetical protein,77
KRH34781,GLYMA_10G205700,KRH34781,Glycine_max_v2.0,10,43742095,43742883,1,hypothetical protein,60
KRH04167,GLYMA_17G143700,KRH04167,Glycine_max_v2.0,17,11681747,11682166,1,hypothetical protein,83
